PUMA,TRACT,BG,BLOCK,household_id,wgtp,SERIALNO,industry,occupation,AGEP,SEX,WKHP,ESR,SCHG,WKW,MIL,SCHL,per_num,GQFLAG,person_id
703,41039003700,4.10E+11,4.10E+14,405854,28,2018HU1300146,1,1,24,2,42,1,-8,3,4,13,1,0,40585401
703,41039003700,4.10E+11,4.10E+14,405854,28,2018HU1300146,1,1,27,2,30,1,-8,3,4,14,2,0,40585402
703,41039003700,4.10E+11,4.10E+14,405855,41,2018HU1361813,1,1,62,2,40,1,-8,1,4,11,1,0,40585501
703,41039003700,4.10E+11,4.10E+14,405855,41,2018HU1361813,1,1,58,1,40,1,-8,1,4,13,2,0,40585502
703,41039003700,4.10E+11,4.10E+14,405856,28,2018HU1397131,0,0,21,1,-8,6,6,-8,4,11,1,0,40585601
703,41039003700,4.10E+11,4.10E+14,405856,28,2018HU1397131,0,0,22,2,-8,6,6,-8,4,11,2,0,40585602
703,41039003700,4.10E+11,4.10E+14,405857,28,2018HU1397131,0,0,21,1,-8,6,6,-8,4,11,1,0,40585701
703,41039003700,4.10E+11,4.10E+14,405857,28,2018HU1397131,0,0,22,2,-8,6,6,-8,4,11,2,0,40585702
703,41039003700,4.10E+11,4.10E+14,405858,17,2019HU0038727,0,0,68,1,-8,6,-8,-8,2,11,1,0,40585801
703,41039003700,4.10E+11,4.10E+14,405859,75,2019HU0040191,1,1,35,1,40,1,-8,1,4,9,1,0,40585901
703,41039003700,4.10E+11,4.10E+14,405859,75,2019HU0040191,1,1,16,2,18,1,5,6,-8,6,2,0,40585902
703,41039003700,4.10E+11,4.10E+14,405860,18,2019HU0059039,1,1,24,2,40,1,-8,1,4,13,1,0,40586001
703,41039003700,4.10E+11,4.10E+14,405860,18,2019HU0059039,1,1,28,2,32,1,-8,1,4,10,2,0,40586002
703,41039003700,4.10E+11,4.10E+14,405861,58,2019HU0137882,0,0,20,1,-8,6,-8,-8,4,9,1,0,40586101
703,41039003700,4.10E+11,4.10E+14,405861,58,2019HU0137882,0,0,23,1,-8,6,-8,-8,4,10,2,0,40586102
703,41039003700,4.10E+11,4.10E+14,405862,58,2019HU0137882,0,0,20,1,-8,6,-8,-8,4,9,1,0,40586201
703,41039003700,4.10E+11,4.10E+14,405862,58,2019HU0137882,0,0,23,1,-8,6,-8,-8,4,10,2,0,40586202
703,41039003700,4.10E+11,4.10E+14,405863,58,2019HU0137882,0,0,20,1,-8,6,-8,-8,4,9,1,0,40586301
703,41039003700,4.10E+11,4.10E+14,405863,58,2019HU0137882,0,0,23,1,-8,6,-8,-8,4,10,2,0,40586302
703,41039003700,4.10E+11,4.10E+14,405864,18,2019HU0205538,1,1,22,2,20,1,6,1,4,11,1,0,40586401
703,41039003700,4.10E+11,4.10E+14,405864,18,2019HU0205538,1,1,22,2,40,1,-8,1,4,11,2,0,40586402
703,41039003700,4.10E+11,4.10E+14,405865,76,2019HU0227677,0,0,80,2,-8,6,-8,-8,4,11,1,0,40586501
703,41039003700,4.10E+11,4.10E+14,405866,126,2019HU0229993,0,0,22,1,-8,6,6,-8,4,11,1,0,40586601
703,41039003700,4.10E+11,4.10E+14,405867,133,2019HU0277098,0,0,23,1,-8,6,6,-8,4,13,1,0,40586701
703,41039003700,4.10E+11,4.10E+14,405867,133,2019HU0277098,0,0,22,1,-8,3,6,-8,4,13,2,0,40586702
703,41039003700,4.10E+11,4.10E+14,405867,133,2019HU0277098,0,0,22,1,25,3,6,6,4,13,3,0,40586703
703,41039003700,4.10E+11,4.10E+14,405867,133,2019HU0277098,1,1,22,1,20,1,6,5,4,13,4,0,40586704
703,41039003700,4.10E+11,4.10E+14,405867,133,2019HU0277098,0,0,21,1,40,3,6,5,4,13,5,0,40586705
703,41039003700,4.10E+11,4.10E+14,405868,133,2019HU0277098,0,0,23,1,-8,6,6,-8,4,13,1,0,40586801
703,41039003700,4.10E+11,4.10E+14,405868,133,2019HU0277098,0,0,22,1,-8,3,6,-8,4,13,2,0,40586802
703,41039003700,4.10E+11,4.10E+14,405868,133,2019HU0277098,0,0,22,1,25,3,6,6,4,13,3,0,40586803
703,41039003700,4.10E+11,4.10E+14,405868,133,2019HU0277098,1,1,22,1,20,1,6,5,4,13,4,0,40586804
703,41039003700,4.10E+11,4.10E+14,405868,133,2019HU0277098,0,0,21,1,40,3,6,5,4,13,5,0,40586805
703,41039003700,4.10E+11,4.10E+14,405869,15,2019HU0285451,0,0,35,1,-8,6,-8,-8,4,9,1,0,40586901
703,41039003700,4.10E+11,4.10E+14,405870,19,2019HU0299129,1,1,32,1,40,1,-8,2,4,15,1,0,40587001
703,41039003700,4.10E+11,4.10E+14,405870,19,2019HU0299129,0,0,34,2,24,6,-8,3,4,11,2,0,40587002
703,41039003700,4.10E+11,4.10E+14,405870,19,2019HU0299129,1,1,6,1,-8,-8,2,-8,-8,2,3,0,40587003
703,41039003700,4.10E+11,4.10E+14,405870,19,2019HU0299129,1,1,4,1,-8,-8,1,-8,-8,2,4,0,40587004
703,41039003700,4.10E+11,4.10E+14,405871,15,2019HU0387804,0,0,19,2,-8,6,6,-8,4,9,1,0,40587101
703,41039003700,4.10E+11,4.10E+14,405871,15,2019HU0387804,1,1,19,1,40,1,6,1,4,9,2,0,40587102
703,41039003700,4.10E+11,4.10E+14,405871,15,2019HU0387804,0,0,19,1,15,6,6,6,4,11,3,0,40587103
703,41039003700,4.10E+11,4.10E+14,405871,15,2019HU0387804,0,0,19,1,16,6,5,5,4,7,4,0,40587104
703,41039003700,4.10E+11,4.10E+14,405872,12,2019HU0426495,0,0,77,2,-8,6,-8,-8,4,11,1,0,40587201
703,41039003700,4.10E+11,4.10E+14,405873,59,2019HU0477639,0,0,20,2,1,6,6,6,4,11,1,0,40587301
703,41039003700,4.10E+11,4.10E+14,405874,59,2019HU0477639,0,0,20,2,1,6,6,6,4,11,1,0,40587401
703,41039003700,4.10E+11,4.10E+14,405875,23,2019HU0510165,1,1,41,1,60,1,-8,1,4,13,1,0,40587501
703,41039003700,4.10E+11,4.10E+14,405875,23,2019HU0510165,1,1,37,2,36,1,6,1,4,13,2,0,40587502
703,41039003700,4.10E+11,4.10E+14,405875,23,2019HU0510165,1,1,9,2,-8,-8,3,-8,-8,2,3,0,40587503
703,41039003700,4.10E+11,4.10E+14,405875,23,2019HU0510165,1,1,15,2,-8,-8,5,-8,-8,4,4,0,40587504
703,41039003700,4.10E+11,4.10E+14,405876,21,2019HU0513614,0,0,26,1,8,6,-8,5,4,13,1,0,40587601
703,41039003700,4.10E+11,4.10E+14,405876,21,2019HU0513614,1,1,25,2,40,1,-8,5,4,14,2,0,40587602
703,41039003700,4.10E+11,4.10E+14,405877,29,2019HU0576091,1,1,22,2,15,1,6,6,4,9,1,0,40587701
703,41039003700,4.10E+11,4.10E+14,405877,29,2019HU0576091,1,1,23,1,40,1,-8,1,4,9,2,0,40587702
703,41039003700,4.10E+11,4.10E+14,405878,11,2019HU0629224,0,0,73,1,-8,6,-8,-8,4,1,1,0,40587801
703,41039003700,4.10E+11,4.10E+14,405879,16,2019HU0646805,0,0,20,2,23,3,6,4,4,11,1,0,40587901
703,41039003700,4.10E+11,4.10E+14,405879,16,2019HU0646805,1,1,19,2,28,1,6,6,4,11,2,0,40587902
703,41039003700,4.10E+11,4.10E+14,405879,16,2019HU0646805,1,1,19,2,60,1,6,5,4,11,3,0,40587903
703,41039003700,4.10E+11,4.10E+14,405879,16,2019HU0646805,1,1,18,2,20,1,6,2,4,9,4,0,40587904
703,41039003700,4.10E+11,4.10E+14,405880,16,2019HU0646805,0,0,20,2,23,3,6,4,4,11,1,0,40588001
703,41039003700,4.10E+11,4.10E+14,405880,16,2019HU0646805,1,1,19,2,28,1,6,6,4,11,2,0,40588002
703,41039003700,4.10E+11,4.10E+14,405880,16,2019HU0646805,1,1,19,2,60,1,6,5,4,11,3,0,40588003
703,41039003700,4.10E+11,4.10E+14,405880,16,2019HU0646805,1,1,18,2,20,1,6,2,4,9,4,0,40588004
703,41039003700,4.10E+11,4.10E+14,405881,15,2019HU0693155,1,1,23,1,45,1,-8,1,4,13,1,0,40588101
703,41039003700,4.10E+11,4.10E+14,405881,15,2019HU0693155,1,1,24,2,45,1,-8,3,4,13,2,0,40588102
703,41039003700,4.10E+11,4.10E+14,405882,100,2019HU0696292,1,1,21,2,6,1,6,6,4,11,1,0,40588201
703,41039003700,4.10E+11,4.10E+14,405882,100,2019HU0696292,1,1,21,2,16,1,6,6,4,11,2,0,40588202
703,41039003700,4.10E+11,4.10E+14,405883,100,2019HU0696292,1,1,21,2,6,1,6,6,4,11,1,0,40588301
703,41039003700,4.10E+11,4.10E+14,405883,100,2019HU0696292,1,1,21,2,16,1,6,6,4,11,2,0,40588302
703,41039003700,4.10E+11,4.10E+14,405884,100,2019HU0696292,1,1,21,2,6,1,6,6,4,11,1,0,40588401
703,41039003700,4.10E+11,4.10E+14,405884,100,2019HU0696292,1,1,21,2,16,1,6,6,4,11,2,0,40588402
703,41039003700,4.10E+11,4.10E+14,405885,100,2019HU0696292,1,1,21,2,6,1,6,6,4,11,1,0,40588501
703,41039003700,4.10E+11,4.10E+14,405885,100,2019HU0696292,1,1,21,2,16,1,6,6,4,11,2,0,40588502
703,41039003700,4.10E+11,4.10E+14,405886,27,2019HU0736230,1,1,22,1,20,1,6,1,4,13,1,0,40588601
703,41039003700,4.10E+11,4.10E+14,405886,27,2019HU0736230,0,0,22,1,30,6,6,6,4,11,2,0,40588602
703,41039003700,4.10E+11,4.10E+14,405886,27,2019HU0736230,1,1,20,1,27,1,6,1,4,11,3,0,40588603
703,41039003700,4.10E+11,4.10E+14,405886,27,2019HU0736230,1,1,20,1,10,1,6,5,4,11,4,0,40588604
703,41039003700,4.10E+11,4.10E+14,405887,27,2019HU0736230,1,1,22,1,20,1,6,1,4,13,1,0,40588701
703,41039003700,4.10E+11,4.10E+14,405887,27,2019HU0736230,0,0,22,1,30,6,6,6,4,11,2,0,40588702
703,41039003700,4.10E+11,4.10E+14,405887,27,2019HU0736230,1,1,20,1,27,1,6,1,4,11,3,0,40588703
703,41039003700,4.10E+11,4.10E+14,405887,27,2019HU0736230,1,1,20,1,10,1,6,5,4,11,4,0,40588704
703,41039003700,4.10E+11,4.10E+14,405888,27,2019HU0736230,1,1,22,1,20,1,6,1,4,13,1,0,40588801
703,41039003700,4.10E+11,4.10E+14,405888,27,2019HU0736230,0,0,22,1,30,6,6,6,4,11,2,0,40588802
703,41039003700,4.10E+11,4.10E+14,405888,27,2019HU0736230,1,1,20,1,27,1,6,1,4,11,3,0,40588803
703,41039003700,4.10E+11,4.10E+14,405888,27,2019HU0736230,1,1,20,1,10,1,6,5,4,11,4,0,40588804
703,41039003700,4.10E+11,4.10E+14,405889,79,2019HU0750240,1,1,47,2,24,1,-8,1,4,10,1,0,40588901
703,41039003700,4.10E+11,4.10E+14,405889,79,2019HU0750240,1,1,60,1,36,1,-8,1,4,13,2,0,40588902
703,41039003700,4.10E+11,4.10E+14,405889,79,2019HU0750240,0,0,23,2,40,3,-8,4,4,10,3,0,40588903
703,41039003700,4.10E+11,4.10E+14,405890,16,2019HU0891070,1,1,22,2,40,1,-8,1,4,13,1,0,40589001
703,41039003700,4.10E+11,4.10E+14,405890,16,2019HU0891070,1,1,28,1,40,1,-8,1,4,13,2,0,40589002
703,41039003700,4.10E+11,4.10E+14,405891,13,2019HU0921735,0,0,21,2,27,6,6,6,4,11,1,0,40589101
703,41039003700,4.10E+11,4.10E+14,405891,13,2019HU0921735,0,0,21,2,-8,6,6,-8,4,13,2,0,40589102
703,41039003700,4.10E+11,4.10E+14,405891,13,2019HU0921735,0,0,20,2,11,6,6,6,4,11,3,0,40589103
703,41039003700,4.10E+11,4.10E+14,405891,13,2019HU0921735,0,0,19,2,-8,6,6,-8,4,11,4,0,40589104
703,41039003700,4.10E+11,4.10E+14,405892,15,2019HU0953433,1,1,26,2,30,1,-8,4,4,11,1,0,40589201
703,41039003700,4.10E+11,4.10E+14,405893,20,2019HU0990045,1,1,34,1,40,1,-8,3,2,15,1,0,40589301
703,41039003700,4.10E+11,4.10E+14,405894,94,2019HU1020371,0,0,33,1,-8,6,-8,-8,4,9,1,0,40589401
703,41039003700,4.10E+11,4.10E+14,405894,94,2019HU1020371,1,1,35,2,45,1,-8,1,4,14,2,0,40589402
703,41039003700,4.10E+11,4.10E+14,405894,94,2019HU1020371,1,1,9,2,-8,-8,3,-8,-8,2,3,0,40589403
703,41039003700,4.10E+11,4.10E+14,405895,21,2019HU1382419,1,1,20,2,9,1,6,1,4,12,1,0,40589501
703,41039003700,4.10E+11,4.10E+14,405895,21,2019HU1382419,1,1,22,2,20,1,6,1,4,11,2,0,40589502
703,41039003700,4.10E+11,4.10E+14,405895,21,2019HU1382419,0,0,21,2,40,6,6,6,4,11,3,0,40589503
703,41039003700,4.10E+11,4.10E+14,405895,21,2019HU1382419,1,1,21,2,20,1,6,1,4,11,4,0,40589504
703,41039003700,4.10E+11,4.10E+14,405896,133,2020HU0036482,1,1,24,2,40,1,-8,1,4,10,1,0,40589601
703,41039003700,4.10E+11,4.10E+14,405896,133,2020HU0036482,0,0,27,1,30,6,-8,5,4,11,2,0,40589602
703,41039003700,4.10E+11,4.10E+14,405897,133,2020HU0036482,1,1,24,2,40,1,-8,1,4,10,1,0,40589701
703,41039003700,4.10E+11,4.10E+14,405897,133,2020HU0036482,0,0,27,1,30,6,-8,5,4,11,2,0,40589702
703,41039003700,4.10E+11,4.10E+14,405898,225,2020HU0151221,0,0,20,2,32,6,6,6,4,11,1,0,40589801
703,41039003700,4.10E+11,4.10E+14,405898,225,2020HU0151221,1,1,20,2,10,1,6,6,4,11,2,0,40589802
703,41039003700,4.10E+11,4.10E+14,405898,225,2020HU0151221,0,0,20,2,6,3,6,6,4,11,3,0,40589803
703,41039003700,4.10E+11,4.10E+14,405898,225,2020HU0151221,1,1,20,2,8,1,6,4,4,11,4,0,40589804
703,41039003700,4.10E+11,4.10E+14,405899,225,2020HU0151221,0,0,20,2,32,6,6,6,4,11,1,0,40589901
703,41039003700,4.10E+11,4.10E+14,405899,225,2020HU0151221,1,1,20,2,10,1,6,6,4,11,2,0,40589902
703,41039003700,4.10E+11,4.10E+14,405899,225,2020HU0151221,0,0,20,2,6,3,6,6,4,11,3,0,40589903
703,41039003700,4.10E+11,4.10E+14,405899,225,2020HU0151221,1,1,20,2,8,1,6,4,4,11,4,0,40589904
703,41039003700,4.10E+11,4.10E+14,405900,225,2020HU0151221,0,0,20,2,32,6,6,6,4,11,1,0,40590001
703,41039003700,4.10E+11,4.10E+14,405900,225,2020HU0151221,1,1,20,2,10,1,6,6,4,11,2,0,40590002
703,41039003700,4.10E+11,4.10E+14,405900,225,2020HU0151221,0,0,20,2,6,3,6,6,4,11,3,0,40590003
703,41039003700,4.10E+11,4.10E+14,405900,225,2020HU0151221,1,1,20,2,8,1,6,4,4,11,4,0,40590004
703,41039003700,4.10E+11,4.10E+14,405901,225,2020HU0151221,0,0,20,2,32,6,6,6,4,11,1,0,40590101
703,41039003700,4.10E+11,4.10E+14,405901,225,2020HU0151221,1,1,20,2,10,1,6,6,4,11,2,0,40590102
703,41039003700,4.10E+11,4.10E+14,405901,225,2020HU0151221,0,0,20,2,6,3,6,6,4,11,3,0,40590103
703,41039003700,4.10E+11,4.10E+14,405901,225,2020HU0151221,1,1,20,2,8,1,6,4,4,11,4,0,40590104
703,41039003700,4.10E+11,4.10E+14,405902,225,2020HU0151221,0,0,20,2,32,6,6,6,4,11,1,0,40590201
703,41039003700,4.10E+11,4.10E+14,405902,225,2020HU0151221,1,1,20,2,10,1,6,6,4,11,2,0,40590202
703,41039003700,4.10E+11,4.10E+14,405902,225,2020HU0151221,0,0,20,2,6,3,6,6,4,11,3,0,40590203
703,41039003700,4.10E+11,4.10E+14,405902,225,2020HU0151221,1,1,20,2,8,1,6,4,4,11,4,0,40590204
703,41039003700,4.10E+11,4.10E+14,405903,225,2020HU0151221,0,0,20,2,32,6,6,6,4,11,1,0,40590301
703,41039003700,4.10E+11,4.10E+14,405903,225,2020HU0151221,1,1,20,2,10,1,6,6,4,11,2,0,40590302
703,41039003700,4.10E+11,4.10E+14,405903,225,2020HU0151221,0,0,20,2,6,3,6,6,4,11,3,0,40590303
