MAZ,TAZ,BLKGRP,TRACT,PUMA,COUNTY,DISTRICTXX,TOTNGQHHS,TOTGQHHS,TOTHHS,TOTPOP,EMP_NRM,EMP_CON,EMP_NHTMFG,EMP_HTMFG,EMP_WT,EMP_TWU,EMP_RET,EMP_IFRPBS,EMP_HCS,EMP_OSV,EMP_GOV,EMP_EDU,EMP_AER,EMP_ACC,EMP_FSD,EMP_TOT,ENROLL_K8,ENROLL_912,ENROLL_COLL,TERMTIME,PRKCST_HR,PRKCST_DAY,PRKCST_MNTH,PRKSPACES,ACRES,ACTIVE_ACRES,OSPC_ACRES,ESCOOACCTIME,EBIKEACCTIME,EXTERNAL,EXT_WORK_SIZE,EXT_NWRK_SIZE,TOTINT,EMPDEN,RETDEN,HHDEN,POPDEN,POPEMPDEN,WLKTIME_BUS,WLKTIME_BRT,WLKTIME_LRT,WLKTIME_CR,EXPPRK_MNTH,EXPPRK_DAY,EXPPRK_HR,PARKAREA,Built Form,walk_dist_local_bus,micro_dist_local_bus,walk_dist_premium_transit,micro_dist_premium_transit,MicroAccessTime,nev,microtransit,external_work,external_nonwork,external_MAZ,totint,park_and_ride_spaces
10703,2105,1,10303,1316,51,,13,0,13,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,0,0,0,0,0,0,,64,,,,,,,,,,,,3,,0.25,0.25,0.5,0.5,0.5,0,0,0,0,0,10,0
3645,1658,2,2303,1305,51,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,87.0,588.00001,9239.999559999998,28.22419704,1,0.143026,0,0,0,0,0,0,,64,,,,,,,,,,,,1,,0.25,0.25,0.5,0.5,0.5,0,0,0,0,0,10,0
3752,1816,2,2401,1305,51,,17,0,17,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,0,0,0,0,0,0,,64,,,,,,,,,,,,2,,0.25,0.25,0.5,0.5,0.5,0,0,0,0,0,10,106
12697,2064,2,22105,1318,5,,24,0,24,67,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,0,0,0,0,0,0,,64,,,,,,,,,,,,3,,0.25,0.25,0.5,0.5,0.5,0,0,0,0,0,10,106
4311,1348,2,2802,1305,51,,15,0,15,37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,0,0,0,0,0,0,,64,,,,,,,,,,,,3,,0.25,0.25,0.5,0.5,0.5,0,0,0,0,0,10,0
11176,1554,2,20100,1319,5,,15,0,15,32,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,20,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,0,0,0,0,0,0,,64,,,,,,,,,,,,3,,0.25,0.25,0.5,0.5,0.5,0,0,0,0,0,10,0
10633,1642,3,10100,1316,51,,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,76,84,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,0,0,0,0,0,0,,64,,,,,,,,,,,,3,,0.25,0.25,0.5,0.5,0.5,0,0,0,0,0,10,0
10675,1866,2,10200,1316,51,,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,33,59,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,0,0,0,0,0,0,,64,,,,,,,,,,,,3,,0.25,0.25,0.5,0.5,0.5,0,0,0,0,0,10,0
3312,1727,5,2000,1305,51,,38,0,38,77,0,1,0,0,0,0,0,12,0,0,0,0,0,0,0,8,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,0,0,0,0,0,0,,64,,,,,,,,,,,,2,,0.25,0.25,0.5,0.5,0.5,0,0,0,0,0,10,0
25,1733,2,100,1303,51,,13,0,13,28,0,2,0,0,0,0,0,0,0,0,0,0,0,0,25,26,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,0,0,0,0,0,0,,64,,,,,,,,,,,,3,,0.25,0.25,0.5,0.5,0.5,0,0,0,0,0,10,0
