,LINE,TSYSCODE
250,C105Asb,b
251,C105Pnb,b
252,C105Psb,b
253,C105Xnb,b
254,C105Xsb,b
255,C164Anb,b
256,C164Asb,b
257,C164Pnb,b
258,C164Psb,b
259,C190Asb,b
260,C190Pnb,b
261,CA99Xco,b
262,CA99Xoc,b
263,CA99Xow,b
264,CA99Xwc,b
265,CA99Xwo,b
266,CAlp,b
267,CCCCnb,b
268,CCCCsb,b
269,CCESeb,b
270,CCESwb,b
271,CCINlp,b
272,CCOClp,b
273,CH10Xnb,b
274,CH10Xsb,b
275,CH20Xnb,b
276,CH20Xsb,b
277,MAClp,b
278,MHEXib,b
279,MHEXob,b
280,MHVSib,b
281,MHVSob,b
282,PSCLP,e
283,PSCNSnb,e
284,PSCNSsb,e
285,RCBeb,b
286,RCBwb,b
287,RCClp,b
288,RCGElp,b
289,RCGEMlp,b
290,RCGWlp,b
291,RCKeb,b
292,RCKwb,b
293,RCNHam,b
294,RCNHpm,b
295,RCTBlp,b
296,RCTRlp,b
297,RCWeb,b
298,RCWwb,b
299,SAMCeb,b
300,SAMCwb,b
301,SAMEnb,b
302,SAMEsb,b
303,SAMGeb,b
304,SAMGwb,b
305,SAMSlp,b
306,SCCAlp,b
307,SCCCnb,b
308,SCCCsb,b
309,SCEXlp,b
310,SCMClp,b
311,SM2Xnb,b
312,SM2Xsb,b
313,SM3Xeb,b
314,SM3Xwb,b
315,SM4eb,b
316,SM4wb,b
317,SM5nb,b
318,SM5sb,b
319,SM6nb,b
320,SM6sb,b
321,SM7Elp,b
322,SM7Wlp,b
323,SMVSeb,b
324,SMVSwb,b
325,TRAMe,b
326,TRAMw,b
327,WBClp,b
328,WBXlp,b
